date,actions
1540598400,12
1540684800,1
1540771200,7
1540857600,113
1540944000,15
1541030400,12
1541116800,9
1541203200,9
1541289600,21
1541376000,18
1541462400,12
1541548800,8
1541635200,33
1541721600,12
1541808000,6
1541894400,22
1541980800,21
1542067200,5
1542153600,33
1542240000,57
1542326400,23
1542412800,28
1542499200,5
1542585600,3
1542672000,12
1542758400,40
1542844800,24
1542931200,10
1543017600,18
1543104000,10
1543190400,29
1543276800,24
1543363200,15
1543449600,15
1543536000,8
1543622400,3
1543708800,1
1543795200,0
1543881600,2
1543968000,4
1544054400,21
1544140800,4
1544227200,5
1544313600,6
1544400000,14
1544486400,13
1544572800,6
1544659200,10
1544745600,11
1544832000,6
1544918400,0
1545004800,2
1545091200,2
1545177600,21
1545264000,1
1545350400,5
1545436800,23
1545523200,4
1545609600,3
1545696000,1
1545782400,5
1545868800,22
1545955200,20
1546041600,13
1546128000,9
1546214400,2
1546300800,0
1546387200,21
1546473600,44
1546560000,0
1546646400,4
1546732800,0
1546819200,14
1546905600,27
1546992000,3
1547078400,28
1547164800,28
1547251200,13
1547337600,15
1547424000,4
1547510400,9
1547596800,17
1547683200,3
1547769600,6
1547856000,4
1547942400,0
1548028800,0
1548115200,25
1548201600,86
1548288000,159
1548374400,129
1548460800,3
1548547200,6
1548633600,60
1548720000,49
1548806400,5
1548892800,16
1548979200,5
1549065600,21
1549152000,7
1549238400,4
1549324800,7
1549411200,0
1549497600,10
1549584000,26
1549670400,12
1549756800,24
1549843200,45
1549929600,27
1550016000,11
1550102400,42
1550188800,21
1550275200,28
1550361600,11
1550448000,10
1550534400,24
1550620800,32
1550707200,7
1550793600,20
1550880000,14
1550966400,5
1551052800,45
1551139200,10
1551225600,9
1551312000,15
1551398400,47
1551484800,6
1551571200,19
1551657600,33
1551744000,19
1551830400,23
1551916800,28
1552003200,21
1552089600,22
1552176000,32
1552262400,47
1552348800,50
1552435200,18
1552521600,18
1552608000,19
1552694400,41
1552780800,17
1552867200,12
1552953600,44
1553040000,10
1553126400,8
1553212800,7
1553299200,11
1553385600,7
1553472000,38
1553558400,23
1553644800,42
1553731200,22
1553817600,33
1553904000,22
1553990400,36
1554076800,7
1554163200,8
1554249600,23
1554336000,15
1554422400,21
1554508800,6
1554595200,48
1554681600,55
1554768000,52
1554854400,36
1554940800,144
1555027200,41
1555113600,19
1555200000,26
1555286400,46
