date,actions
1550188800,4
1550275200,1
1550361600,3
1550448000,0
1550534400,3
1550620800,0
1550707200,4
1550793600,3
1550880000,0
1550966400,0
1551052800,0
1551139200,0
1551225600,0
1551312000,1
1551398400,1
1551484800,3
1551571200,2
1551657600,0
1551744000,0
1551830400,0
1551916800,2
1552003200,2
1552089600,5
1552176000,2
1552262400,1
1552348800,9
1552435200,2
1552521600,3
1552608000,0
1552694400,0
1552780800,1
1552867200,1
1552953600,0
1553040000,1
1553126400,0
1553212800,0
1553299200,0
1553385600,0
1553472000,0
1553558400,0
1553644800,1
1553731200,1
1553817600,9
1553904000,1
1553990400,5
1554076800,0
1554163200,2
1554249600,2
1554336000,1
1554422400,1
1554508800,2
1554595200,1
1554681600,3
1554768000,3
1554854400,0
1554940800,1
1555027200,5
1555113600,5
1555200000,0
1555286400,5
1555372800,0
1555459200,1
1555545600,0
1555632000,0
1555718400,0
1555804800,0
1555891200,0
1555977600,0
1556064000,0
1556150400,0
1556236800,0
1556323200,0
1556409600,2
1556496000,5
1556582400,0
1556668800,0
1556755200,5
1556841600,1
1556928000,0
1557014400,1
1557100800,4
1557187200,3
1557273600,3
1557360000,2
1557446400,16
1557532800,3
1557619200,21
1557705600,45
1557792000,3
1557878400,24
1557964800,3
1558051200,0
1558137600,2
1558224000,2
1558310400,2
1558396800,0
1558483200,2
1558569600,10
1558656000,4
1558742400,3
1558828800,0
1558915200,3
1559001600,12
1559088000,2
1559174400,3
1559260800,5
1559347200,6
1559433600,6
1559520000,10
1559606400,4
1559692800,11
1559779200,18
1559865600,13
1559952000,6
1560038400,0
1560124800,6
1560211200,3
1560297600,2
1560384000,0
1560470400,0
1560556800,0
1560643200,2
1560729600,1
1560816000,0
1560902400,0
1560988800,3
1561075200,0
1561161600,1
1561248000,0
1561334400,0
1561420800,0
1561507200,4
1561593600,2
1561680000,0
1561766400,0
1561852800,1
1561939200,0
1562025600,0
1562112000,4
1562198400,4
1562284800,1
1562371200,3
1562457600,0
1562544000,6
1562630400,12
1562716800,5
1562803200,1
1562889600,1
1562976000,2
1563062400,2
1563148800,2
1563235200,0
1563321600,8
1563408000,7
1563494400,19
1563580800,8
1563667200,12
1563753600,22
1563840000,33
1563926400,7
1564012800,7
1564099200,0
1564185600,6
1564272000,4
1564358400,8
1564444800,5
1564531200,3
1564617600,4
1564704000,6
1564790400,1
1564876800,0
1564963200,0
1565049600,9
1565136000,5
1565222400,3
1565308800,3
1565395200,1
1565481600,0
1565568000,1
1565654400,2
1565740800,5
1565827200,0
1565913600,15
1566000000,6
1566086400,3
1566172800,5
1566259200,3
1566345600,8
1566432000,2
1566518400,2
1566604800,2
1566691200,0
1566777600,0
1566864000,5
1566950400,3
1567036800,0
1567123200,3
1567209600,0
1567296000,0
1567382400,4
1567468800,20
1567555200,8
1567641600,5
1567728000,2
1567814400,2
1567900800,2
1567987200,6
1568073600,6
1568160000,3
1568246400,12
1568332800,3
1568419200,5
1568505600,3
1568592000,2
1568678400,2
1568764800,2
1568851200,3
1568937600,3
1569024000,0
1569110400,3
1569196800,2
1569283200,6
1569369600,9
1569456000,1
1569542400,1
1569628800,1
1569715200,1
1569801600,4
1569888000,6
1569974400,2
1570060800,1
1570147200,8
1570233600,3
1570320000,0
1570406400,5
1570492800,3
1570579200,2
1570665600,6
1570752000,2
1570838400,1
1570924800,3
1571011200,0
1571097600,0
1571184000,0
1571270400,5
1571356800,7
1571443200,6
1571529600,1
1571616000,1
1571702400,1
1571788800,0
1571875200,5
1571961600,3
1572048000,0
1572134400,0
1572220800,4
1572307200,0
1572393600,5
1572480000,3
1572566400,0
1572652800,1
1572739200,1
1572825600,5
1572912000,5
1572998400,2
1573084800,1
1573171200,0
1573257600,1
1573344000,1
1573430400,0
1573516800,5
1573603200,8
1573689600,3
1573776000,2
1573862400,0
1573948800,2
1574035200,2
1574121600,8
1574208000,4
1574294400,2
1574380800,0
1574467200,2
1574553600,1
1574640000,0
1574726400,2
1574812800,1
1574899200,6
1574985600,0
1575072000,6
1575158400,1
1575244800,6
1575331200,6
1575417600,0
