date,members
1550102400,1
1550188800,1
1550275200,1
1550361600,1
1550448000,1
1550534400,1
1550620800,1
1550707200,1
1550793600,1
1550880000,1
1550966400,1
1551052800,1
1551139200,1
1551225600,1
1551312000,1
1551398400,1
1551484800,3
1551571200,4
1551657600,4
1551744000,6
1551830400,6
1551916800,7
1552003200,10
1552089600,10
1552176000,10
1552262400,10
1552348800,10
1552435200,10
1552521600,10
1552608000,10
1552694400,10
1552780800,10
1552867200,10
1552953600,13
1553040000,13
1553126400,14
1553212800,14
1553299200,14
1553385600,14
1553472000,21
1553558400,23
1553644800,23
1553731200,23
1553817600,24
1553904000,24
1553990400,24
1554076800,24
1554163200,24
1554249600,24
1554336000,24
1554422400,24
1554508800,24
1554595200,24
1554681600,24
1554768000,24
1554854400,24
1554940800,24
1555027200,26
1555113600,26
1555200000,26
1555286400,26
1555372800,26
1555459200,26
1555545600,26
1555632000,26
1555718400,26
1555804800,26
1555891200,26
1555977600,26
1556064000,26
1556150400,26
1556236800,26
1556323200,26
1556409600,27
1556496000,27
1556582400,27
1556668800,27
1556755200,27
1556841600,27
1556928000,27
1557014400,27
1557100800,27
1557187200,27
1557273600,27
1557360000,27
1557446400,27
1557532800,26
1557619200,28
1557705600,29
1557792000,29
1557878400,29
1557964800,30
1558051200,30
1558137600,30
1558224000,31
1558310400,31
1558396800,31
1558483200,31
1558569600,32
1558656000,34
1558742400,39
1558828800,44
1558915200,47
1559001600,47
1559088000,48
1559174400,48
1559260800,48
1559347200,49
1559433600,49
1559520000,49
1559606400,49
1559692800,51
1559779200,53
1559865600,53
1559952000,53
1560038400,53
1560124800,53
1560211200,53
1560297600,53
1560384000,53
1560470400,53
1560556800,55
1560643200,55
1560729600,56
1560816000,58
1560902400,59
1560988800,61
1561075200,65
1561161600,64
1561248000,65
1561334400,66
1561420800,67
1561507200,67
1561593600,68
1561680000,69
1561766400,69
1561852800,69
1561939200,69
1562025600,69
1562112000,69
1562198400,70
1562284800,70
1562371200,70
1562457600,70
1562544000,70
1562630400,70
1562716800,70
1562803200,70
1562889600,70
1562976000,77
1563062400,77
1563148800,78
1563235200,78
1563321600,78
1563408000,80
1563494400,80
1563580800,79
1563667200,80
1563753600,82
1563840000,82
1563926400,82
1564012800,82
1564099200,83
1564185600,84
1564272000,85
1564358400,85
1564444800,86
1564531200,87
1564617600,91
1564704000,91
1564790400,91
1564876800,91
1564963200,91
1565049600,91
1565136000,91
1565222400,92
1565308800,91
1565395200,92
1565481600,94
1565568000,93
1565654400,95
1565740800,95
1565827200,96
1565913600,96
1566000000,97
1566086400,97
1566172800,97
1566259200,98
1566345600,101
1566432000,101
1566518400,101
1566604800,101
1566691200,101
1566777600,101
1566864000,101
1566950400,101
1567036800,102
1567123200,101
1567209600,108
1567296000,108
1567382400,106
1567468800,108
1567555200,107
1567641600,108
1567728000,108
1567814400,108
1567900800,108
1567987200,108
1568073600,107
1568160000,108
1568246400,108
1568332800,110
1568419200,110
