boostedAt,closingAt,createdAt,executedAt,executionState,expiresInQueueAt,id,preBoostedAt,proposer,stage,stakesAgainst,stakesFor,totalRepWhenCreated,totalRepWhenExecuted,votesAgainst,votesFor,winningOutcome,dao,queuedVoteRequiredPercentage,network
1571834657.0,1572180258,1571738878,1572180258.0,BoostedTimeOut,1574330878,0x0025c38d987acba1f1d446d3690384327ebe06d15f1fa4171a4dc3467f8bd416,1571740768.0,0xbaaea72417f4dc3e0f52a1783b0913d0f3516634,Executed,150000000000000000000,1959175000000000000711,46220594309932337307982,46220594309932337307982,0,2474385491922928918701,Pass,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,50,mainnet
,1579289956,1579288039,1579289956.0,QueueBarCrossed,1581880039,0x0033a337b620add50be9ba0fff1128ab866ece51cfddbce935ad9ff7dd1678f7,,0x052c68abe8e4bf0b78925e488b98f6fdc18a3af9,Executed,150000000000000000000,0,700000000000000000000,700000000000000000000,0,500000000000000000000,Pass,0x39757e7cdb7022c3829195d57b29428d79593c9d,50,mainnet
1584302043.0,1584906861,1584208352,1584906861.0,BoostedTimeOut,1588096352,0x003c109411e96e5607ce609278536262e12afdaa65ab927632ec03d90b4c8ccc,1584215629.0,0xb33b9fba681653fe263b31a95766d83d18c2128d,Executed,250000000000000000000,1300000000000000000000,1008460514844475278975098,1008460514844475278975098,0,251374125552087928247807,Pass,0x519b70055af55a007110b4ff99b0ea33071c720a,50,mainnet
1576447066.0,1576706279,1576335174,1576706279.0,BoostedTimeOut,1577544774,0x0071c649968f7939fc9729c5dc25a8ae3f50dc86220aadc0ff5715dcadd57525,1576347204.0,0x86fd6dd41bad636b5b3b9228bc5642fa0df392e8,Executed,50000000000000000000,400000000000000000000,2377256705110680000000,2377256705110680000000,0,442450522206000000000,Pass,0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,50,mainnet
1572767288.0,1573032353,1572636389,1573032353.0,BoostedTimeOut,1574364389,0x007eaf0fc8d6ae35ba3f28bc7cf4b34af659db8161d4bbbf6061d9c14574ea14,1572636847.0,0x7cb9032844e722bef2e16a761832c59c96550898,Executed,150000000000000000000,151000000000000000000,227233547534947517106211,227233547534947517106211,96000000000000000000,0,Fail,0x440583455bcd85ab2bd429c015d3aabcae135f0a,50,mainnet
,1578160429,1575568407,1578160429.0,QueueTimeOut,1578160407,0x00ae2e79f825a1583c08c3f249d94ef2ac38253452f8d82701769482ea8a2b17,,0x72e1638bd8cd371bfb04cf665b749a0e4ae38324,ExpiredInQueue,150000000000000000000,0,92872240000000000000000,92872240000000000000000,0,5322240000000000000000,Pass,0x70c36947837b43665ed5ea85c112aa0f72cf9fb3,50,mainnet
,1563193544,1562588713,1563193544.0,QueueTimeOut,1563193513,0x00d1acfc8852b41106ac5322c1e74e8aceb62179900e93daca42ee9ae15288db,1562639233.0,0xe9fa375cc144e91698476172195f0544db2cb3cd,ExpiredInQueue,71000000000000000000,70000000000000000000,140841673869067911197627,140841673869067911197627,168839496521589041302,19405980000000000000,Fail,0x6bee9b81e434f7afce72a43a4016719315069539,50,mainnet
,1566031727,1565990193,1566031727.0,PreBoostedBarCrossed,1566594993,0x00d2bd8dbf37d35be269aafe856fdb9691f2e41a0614001995e9b55df3f9e6bc,1566002286.0,0x7f2a1ef39ea0d470b5669ce105a13c5b3bd8cd31,Executed,50000000000,10000000000000000000,753615809000000000000,753615809000000000000,0,492282809000000000000,Pass,0xbe1a98d3452f6da6e0984589e545d4fc25af7526,50,mainnet
1601568913.0,1602173724,1601482348,1602173724.0,BoostedTimeOut,1605370348,0x011f8609171d99705dda26d2d82cdcc691cdf8916997d59a6746587a0f8f2faa,1601482512.0,0x3111327edd38890c3fe564afd96b4c73e8101747,Executed,250000000000000000000,1519000000000000000000,1360240799760375897190262,1360240799760375897190262,0,271467440501095373103385,Pass,0x519b70055af55a007110b4ff99b0ea33071c720a,50,mainnet
,1589226342,1589154080,1589226342.0,QueueBarCrossed,1589758880,0x0129727c7ce74cb7fe77835e3c8396d36c2cdfbabb55cbc65535176c986d01f8,,0xa15ca74e65bf72730811abf95163e89ad9b9dff6,Executed,50000000000000000000,0,2000000000000000000000,2000000000000000000000,0,2000000000000000000000,Pass,0xfbe675b10de71165035d178dbc34645adde33eca,50,mainnet
1594099060.0,1594703867,1594010653,1594703867.0,BoostedTimeOut,1597898653,0x019e094131fce8511813564de0816bc56e368ed4c0b4c056d544df1f767ac078,1594012653.0,0xb33b9fba681653fe263b31a95766d83d18c2128d,Executed,250000000000000000000,1000000000000000000000,1239168608790250567150524,1239168608790250567150524,0,245571242867994568751662,Pass,0x519b70055af55a007110b4ff99b0ea33071c720a,50,mainnet
1591421629.0,1591767231,1591257826,1591767231.0,BoostedTimeOut,1593849826,0x01c62607c11f6d84734b2645bcd7e0a11e816bebf0efa4b46fbce15b5f679a00,1591335219.0,0xf5913759b449fae8900d61f7116d451d200c60f7,Executed,150000000000000000000,1470000000000000000000,910247999999999995000,910247999999999995000,0,88000000000000000000,Pass,0xee7fa430a7e513d3df962ed0c0e285bc6f87fc24,50,mainnet
1565226732.0,1565251934,1565212428,1565251934.0,BoostedTimeOut,1565262828,0x01d2b5d939e9f585a6c7a422f44b2d11ae6050f574267d46a4dd638c22ede7af,1565215929.0,0xd377b7a9e76fc735ad1a579254ac7dd35f8978dc,Executed,100000000000000000000,200000000000000000000,12145000000000000000000,12145000000000000000000,0,745000000000000000000,Pass,0x0b93ba560283350d4216f29dc57e15df38d0eace,70,mainnet
1594737233.0,1594866841,1594407155,1594866841.0,BoostedTimeOut,1595011955,0x01e149ea9491cffe510288ead0aaf421eb5117a0fddb4fa6c94aca58dc357c26,1594694026.0,0xa15ca74e65bf72730811abf95163e89ad9b9dff6,Executed,1000000000000000000,1100000000000000089,7000000000000000000000,7000000000000000000000,0,2000000000000000000000,Pass,0x339af3ed17192edec40123d4e3239e20e2ccfead,50,mainnet
1575920623.0,1576179823,1575826013,1576179823.0,BoostedTimeOut,1577035613,0x01ecc9ba59021ca472c743685ece4df84331361c6f42de8d7d17d8e581dfdd1c,1575834202.0,0x4171160db0e7e2c75a4973b7523b437c010dd9d4,Executed,50000000000000000000,500000000000000000000,2164604517700000000000,2164604517700000000000,0,853339726800000000000,Pass,0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,50,mainnet
,1583262495,1583256295,1583262495.0,QueueBarCrossed,1583861095,0x0201d52a11aacf20d32024db2b64e4cde7a2b5ffc9dc6c33e24ab9214df760b8,,0x5db06acd673531218b10430ba6de9b69913ad545,Executed,50000000000000000000,0,372579469871326588240000,372579469871326588240000,0,193314355849464188240000,Pass,0xd358d4f159e6fae32d1b6096bdace829a5fe33fb,50,mainnet
