amount,createdAt,id,outcome,staker,dao,proposal,network
60000000000000000000,1561147345,0x002a6f4b1986b3d700b470bdcd835a5c828e8e9cb04d469b8598259e35ad71b0,Pass,0x26904e77a65ba7ff95803d804ef46fc6d8f33720,0x6bee9b81e434f7afce72a43a4016719315069539,0x1d7514de86913f1f306c237d2f6c88ac31098afb00cdf9bfbc1b142f2190d94e,mainnet
1000000000000000000,1564370175,0x0034e58174fdef6f34fa3df9e4582297a74e0481d2000c7549b9a3c76006acdd,Pass,0x4abe45a46ff4be05545684ab7aa1894628d9dca6,0x519b70055af55a007110b4ff99b0ea33071c720a,0xa0225277f6b1f3b4f0bedc3e4d92ed8f3ba53e5847813123f09d378ea8cdd929,mainnet
150000000000000000000,1555959165,0x003855e34d7163f25f7b3abf4c8584414cf1dd3cf18cde3236efac4f2f9ed161,Pass,0xf16294a979a027f297dace2f618cb57bc4bf5d16,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0xf37c69b6340e07c14ec9a9cac73a04682d5987d183f862607405fde7c6d726df,mainnet
300000000000000000000,1555856781,0x004d8429b916138dfc1386b71922a9efe28c5e507eb104ee323baf11110d5635,Pass,0xce7298e5ef1ae8af0573edc2ebd03ab0f837e214,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x9421968a79dfc6b9437c04810293ff7f732fed2190ba59652b0dd6ffeda45e39,mainnet
100000000000000000000,1565031668,0x006812f41b36c70bc1403953407457b165f07b666d5d8f8eecda8800e3f2cf7a,Fail,0xa15ca74e65bf72730811abf95163e89ad9b9dff6,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x7fd26b2118068bd2e38e62d0b833fe49962db9e2ebaa62665586342b7b46da41,mainnet
100000000000000000000,1579253755,0x006b0c221ecd81229e920beb1b0a8c46dcc4545ed8027f2177a9a8a1d22e4f57,Pass,0x50589344709e59885ac585a525c46a8979041177,0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,0x83ce629ebc4c5c289866ab20cb798c4a39e673fed41347de306d7c633cc093c8,mainnet
600000000000000000000,1573664932,0x0095b52757bceef2290517a434d2320ffc6e07728bf0c11232254118d21430a3,Pass,0x774d556f7c2cae79f28a35b8e1f57371df8b8bca,0x2b8c70fffda7f3d7667f7cfede1429313886329c,0x443c64ce9b00108f701608e41eb0355facb7445ca1b1c381d6c3f0b7e24b8ef4,mainnet
187000000000000000000,1582259453,0x00a6d02c011f271e1505bf68ffd9f6e45f83a0a4c71ce30e144045343814c678,Pass,0x95fd1628e15e4ead16e4f85cc1e4e8c58d8bc34c,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0xebb2c05cc490aa1b6e2bade8663da1f3d28e452d3e04166c79d7eb1e636d8b0f,mainnet
100000000000000000000,1572046223,0x00ad7bf3b9251a18b52ea0d93e30f0c3487e143ea4f414137d375ac1001ed066,Fail,0x95fd1628e15e4ead16e4f85cc1e4e8c58d8bc34c,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x50426c06f450c20a21d7726df57a2ebb99a4a94d75c5d379ad59ce80c1217bee,mainnet
800000000000000000000,1572559475,0x00ce6c34e1d0231114eee06f04b934c0adaa5febc603d7288e827f90e7ad78af,Pass,0x9a94ac82b17e67f7dff81912de68eb74ca20e6c3,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x0d87493d493452e30161c36af31c1e212dfdc8d8648144cd7cd32f0fb2b98e76,mainnet
250000000000000000000,1571222565,0x00d83a8729f784cc69c31f38cbc5bd575715f3238ceccdbf9a54d820a71ef08f,Pass,0x00234af289964cc53cae46452ddac6253fc3ec3a,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0xffc63fc6514f3c648d3386e9e997fdfdfd15a01d7ffdf3a479d6f8b4190b9f2c,mainnet
600000000000000000000,1564361896,0x00d9dc025480c37415d9e93b36addb14a86dbfdab355e934f67e5f7e8f7fbd63,Pass,0x3e9976d5ba86a78d6e5c25bc2f309049676c0798,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x47b269722f896871c29afbad79926b4cc68a4f41321fb83677c0bd3c7aa34c00,mainnet
400000000000000000000,1571200404,0x0111c13213f685273ac930f0b2445a271bd23a95e44d9c5bd722d3211f2f5412,Fail,0x95fd1628e15e4ead16e4f85cc1e4e8c58d8bc34c,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x8f56d9e107897903d401aef317ded025f27422ecdc9af0a9406e45b4bc9daf28,mainnet
265000000000000000000,1563196731,0x011efa48ba79334eb573d6e4980efdc0ccddfe6bbd942a4fba0af2205a984524,Fail,0x730fd267ef60b27615324b94bf0bc7ed15d52718,0x519b70055af55a007110b4ff99b0ea33071c720a,0x8de194855379635110cd6defce61938e404e0bede47b4a48df60ae2613803466,mainnet
901000000000000000000,1571476165,0x0121bb6c72e4008685ccaaa52bee949faa8f8b550c1eb296e9fa7da5cf38e273,Fail,0xc4d9d1a93068d311ab18e988244123430eb4f1cd,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x7a244f0eddf7aa3ab3d41b2664ff41dc63f7eb59a6d3300d33eb0f4e271ad8be,mainnet
150000000000000000000,1601893099,0x0121e16c090db064dc8c9c2318e6860f5f43515995de7fb922e2a5d78207e903,Pass,0xdb40ae9e2cbaf17bbe68d2ae221fa499f8e42c85,0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7,0xf9b96048ccea8a3eaa1f04ee6eb0ccd9fa93ce26e0128480f5f541883f674b47,mainnet
200000000000000000000,1573990081,0x0155d314df190537b8cbd88cfcce23bbd20462f2c586d65974dec8bbc16cab79,Pass,0x9a94ac82b17e67f7dff81912de68eb74ca20e6c3,0x0b93ba560283350d4216f29dc57e15df38d0eace,0x99506e6fb142b18979682a88c557e224e83ac5026a1f7ab199fc121bc149352e,mainnet
10000000000000000000,1592529372,0x0160d2cb2aaaa59d9ae1ef1ad367110e02b274290dfe0f42d287e2880b7beb40,Pass,0x3706c5fbe1d3f9d8e1da3c0989ecff4cb84be4c8,0x519b70055af55a007110b4ff99b0ea33071c720a,0xcc582e0ee8ebc730d8473c67de077130c998c99da79466f4075bcc677b090d16,mainnet
180000000000000000000,1560526824,0x017295ecc2181e072cf7cdd49ba3f337fce5e9eebcc0c46a65bf1fd3f8d54ee9,Pass,0x50589344709e59885ac585a525c46a8979041177,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x30c0baeeadaeecd5e04a2883e5f36891e1b2cae34cb768c693aa1e5c896cda66,mainnet
50000000000000000000,1558691251,0x018b18d9d7af3d250047f5b3802fc0d7aec2b138465bf3f1ec37e51776e2d101,Pass,0x24597c5c68687e816ffc0c69e064cb70bb62a9cd,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x1a13d7f098a4379ab1fe96645bb80be1302a90e50521240ebb71c97149862a64,mainnet
1000000000000000000000,1582416786,0x01983054c1aeed14ba5bc8aed3050f4dc2a2217227d44c2bc0a1b175bbc3a908,Pass,0x774d556f7c2cae79f28a35b8e1f57371df8b8bca,0x519b70055af55a007110b4ff99b0ea33071c720a,0x084f14d12e448cf175d31ab6a6dd4469bfebaac47565ca93f788af16d52123ff,mainnet
1000000000000000000,1569960549,0x01ac01a48680d8339692d32235913f273fadb33792602a53a7d14ca042beffef,Pass,0xc4d9d1a93068d311ab18e988244123430eb4f1cd,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x80a07aca8d80c61b95ca46ff49845a1aba148e55fc081a5d64404feb17ba9a8c,mainnet
90000000000000000000,1603650463,0x01b0aaef55b873aa3d3e1be1fd279f409d0e95d1fc45e669b25a60c315971efd,Pass,0x9a94ac82b17e67f7dff81912de68eb74ca20e6c3,0x0b93ba560283350d4216f29dc57e15df38d0eace,0xfd858b8f5e635746e7d430c23309f5d1db4fe34b055ef1ce1c293e1862a14ec6,mainnet
15000000000000000000,1578958164,0x01c66d5921d31b2704f601da59d4f04fbb2578e560078c57bcc5a608b2f68c7d,Pass,0x00234af289964cc53cae46452ddac6253fc3ec3a,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x10faedabfe50b856517569b3efe1166726155f6673b5f8adba57e82cffc9909d,mainnet
200000000000000000000,1565683296,0x01d6b85a2874b1a3ad359c2bc1b6fa8c382fa1d84a273aaa8fc254a3a3ddbdf1,Pass,0x774d556f7c2cae79f28a35b8e1f57371df8b8bca,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0xeff89f86f04222bfa54c1668082f60ff49e80cf32205a436395629c6c8fdfbf8,mainnet
1000000000000000000000,1570558252,0x01e53c64fb514a0e7df5d4a4be365f525f35c37547d8221633977de296a66fe2,Pass,0xc4d9d1a93068d311ab18e988244123430eb4f1cd,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x0b740d0d1ea45f436b56427a895111ec21a34ea3132a33fe4bc572562a077c4b,mainnet
1500000000000000000000,1599834353,0x01ed54200293fc75b6a19834639507521ce40513fc0fa9c018e9e29e48fc845c,Pass,0x84443f61efc60d10da9f9a2398980cd5748394bb,0x519b70055af55a007110b4ff99b0ea33071c720a,0xbc213cc5b9f0ee1615bb0d4f95596fbd1a3b607a621643d551f1d264ea13610c,mainnet
2080000000000000071,1594402648,0x0215f23e4d982971128fe106441f16e6c7c23926c523e7932ba9d359fe8d2f0c,Pass,0x03fadce719ca1cfe4f114e18c862be25e40fbf3c,0x15344ecdc2c4edfcb092e284d93c20f0529fd8a6,0x8b2a099d2fd65a1f18e46f8a4bfe227e9cc2065f64bd73b2f8a04eec747a8a31,mainnet
